source,target
Christine_Gregoire,Alexandra_Stevenson
Mireya_Moscoso,Heinz_Feldmann
Joseph_Estrada,Javier_Solana
Jesse_Jackson,Wang_Yingfan
Doris_Schroeder,Kemal_Dervis
Jayson_Williams,Nan_Wang
Mark_Hurlbert,Vicente_Fernandez
Steven_Spielberg,Ernie_Els
Lance_Armstrong,Kobe_Bryant
James_Caan,Paul_McCartney
Junichiro_Koizumi,John_Abizaid
Lance_Armstrong,Adrien_Brody
Hosni_Mubarak,Clara_Harris
George_Papandreou,Ashanti
Goldie_Hawn,Elijah_Wood
Brad_Johnson,Zinedine_Zidane
Julie_Gerberding,Elena_Bovina
Arnold_Palmer,Kathleen_Kennedy_Townsend
James_Caan,Norah_Jones
Hilary_Duff,Tom_Craddick
Jan-Michael_Gambill,Dean_Barkley
Lars_Von_Trier,Gerhard_Schroeder
Michael_Bloomberg,Jon_Corzine
