source,target
David_Nalbandian,Christine_Gregoire
Rita_Grande,James_Cameron
Leslie_Caldwell,Milo_Maestrecampo
Salma_Hayek,Aaron_Peirsol
Hun_Sen,Hugh_Grant
Ilan_Ramon,Ludivine_Sagnier
Antonio_Palocci,Monique_Garbrecht-Enfeldt
Robert_Redford,Mary_Carey
Bridgette_Wilson-Sampras,Kenneth_Bowersox
Colin_Farrell,Larry_Coker
Wayne_Ferreira,Lenny_Wilkens
John_Kerry,Charles_Bronson
Grant_Hackett,Mark_Richt
Allyson_Felix,Naji_Sabri
Mikhail_Youzhny,Mary_Carey
Jose_Maria_Aznar,Naoto_Kan
Tom_Harkin,Sally_Kirkland
Martina_McBride,Maria_Soledad_Alvear_Valenzuela
Richard_Myers,Jim_Furyk
Liza_Minnelli,Jon_Voight
Pete_Carroll,Aaron_Peirsol
Ricardo_Lagos,Nabil_Shaath
Eduardo_Duhalde,Farouk_al-Sharaa
Ralf_Schumacher,Bill_McBride
Paul_Wellstone,John_Malkovich
Roseanne_Barr,Jesse_Ventura
Mary_Landrieu,William_Ford_Jr
Gray_Davis,Amanda_Bynes
Prince_Harry,Lisa_Marie_Presley
