source,target
Antony_Leung,Juan_Pablo_Montoya
Jerry_Springer,Jesse_Harris
Pedro_Almodovar,Dennis_Kucinich
Lennox_Lewis,Yevgeny_Kafelnikov
Tommy_Robredo,Sharon_Osbourne
Megan_Mullally,David_Heymann
Yasar_Yakis,Charles_Taylor
Joe_Torre,Martina_Hingis
Tassos_Papadopoulos,Diana_Munz
Rick_Stansbury,Charles_Bronson
Faye_Dunaway,Adam_Sandler
George_W_Bush,Tommy_Robredo
Frank_Solich,Michael_Ballack
Rebekah_Chantay_Revels,Tim_Conway
Moshe_Katsav,Angelo_Reyes
Tony_Bennett,Claire_Danes
Slobodan_Milosevic,Mike_Krzyzewski
David_Stern,Halle_Berry
Pierce_Brosnan,Ben_Howland
Susilo_Bambang_Yudhoyono,Colin_Powell
