source,target
Vincent_Brooks,Pete_Sampras
Jeong_Se-hyun,Justin_Guarini
Lenny_Wilkens,Sylvester_Stallone
Ahmed_Chalabi,Rod_Stewart
Lance_Bass,Mikhail_Kasyanov
Zico,Hun_Sen
Dennis_Hastert,Ali_Khamenei
Vladimir_Putin,Ranil_Wickremasinghe
Herb_Sendek,Daniel_Day-Lewis
Nick_Nolte,David_Beckham
James_Caan,Prince_Claus
Monica_Bellucci,Kim_Ryong-sung
Natalie_Cole,Kevin_Costner
George_Pataki,Donald_Fehr
Jay_Leno,Antonio_Banderas
Daniel_Day-Lewis,Steve_Nash
Alexander_Losyukov,Arnold_Palmer
John_Kerry,Meryl_Streep
Lance_Bass,Grant_Hackett
Oswaldo_Paya,Hu_Jintao
Adam_Sandler,Richard_Krajicek
James_Kelly,Tom_Craddick
Bulent_Ecevit,Angelo_Reyes
Zhang_Ziyi,Constance_Marie
