source,target
Carlos_Manuel_Pruneda,Wang_Yingfan
Sharon_Stone,Lucy_Liu
Sylvester_Stallone,Dennis_Hastert
Tassos_Papadopoulos,Evan_Rachel_Wood
Tung_Chee-hwa,Roger_Federer
Albert_Costa,Meryl_Streep
Cesar_Gaviria,Dennis_Kucinich
Bruce_Springsteen,Jimmy_Carter
Edward_Kennedy,Mary_Carey
Winona_Ryder,Calista_Flockhart
Mireya_Moscoso,Jean-David_Levitte
Mireya_Moscoso,Hamid_Karzai
Vanessa_Incontrada,Kjell_Magne_Bondevik
Larry_Brown,Michael_Winterbottom
Rick_Stansbury,Gloria_Trevi
George_Ryan,Carlos_Menem
Shaul_Mofaz,Steffi_Graf
Richard_Armitage,Gregg_Popovich
Mathias_Reichhold,Tim_Robbins
Juan_Manuel_Marquez,Ai_Sugiyama
Roberto_Marinho,Jeb_Bush
Mohammed_Al-Douri,Tommy_Robredo
Victoria_Beckham,Grant_Hackett
Robert_Mueller,Christine_Gregoire
Cruz_Bustamante,Mike_Tyson
Sean_Astin,Jeb_Bush
Yoko_Ono,Kristin_Davis
Marieta_Chrousala,Hamid_Karzai
Roberto_Marinho,Hillary_Clinton
Abel_Pacheco,Hal_Gehman
Jose_Maria_Aznar,David_Anderson
Ann_Veneman,Al_Sharpton
Xanana_Gusmao,Bulent_Ecevit
Jeff_Van_Gundy,Heidi_Fleiss
Lleyton_Hewitt,Claire_Danes
Angela_Bassett,Kim_Jong-Il
Jeb_Bush,Nicanor_Duarte_Frutos
Conan_OBrien,Mitchell_Daniels
Bill_Paxton,Rick_Barnes
Constance_Marie,John_Travolta
Ashton_Kutcher,Ken_Macha
Dennis_Hastert,Geoff_Hoon
John_Malkovich,Diana_Munz
George_Pataki,Tom_Watson
Juan_Manuel_Marquez,Pierre_Pettigrew
Nestor_Kirchner,Bill_Paxton
Fayssal_Mekdad,Bertie_Ahern
Natalie_Maines,Alejandro_Toledo
Bernard_Landry,Steve_Ballmer
Sean_Patrick_OMalley,Alec_Baldwin
Helen_Clark,Anders_Fogh_Rasmussen
Mohamed_ElBaradei,Christine_Todd_Whitman
Vicente_Fox,Rachel_Griffiths
Michael_Phelps,Sophia_Loren
Magdalena_Maleeva,Yoko_Ono
Anne_McLellan,Lisa_Marie_Presley
Robert_Zoellick,Michael_Douglas
Placido_Domingo,Donald_Rumsfeld
Roseanne_Barr,Jiri_Novak
Mariana_Pollack,Tom_Watson
George_Voinovich,Robert_Torricelli
Michael_Ballack,Rick_Pitino
Jon_Corzine,Jack_Straw
Abdullah_Gul,Walter_Mondale
Martha_Burk,Claire_Danes
Natalie_Coughlin,Alvaro_Uribe
Rainer_Schuettler,Bob_Stoops
Kelvin_Sampson,Geoff_Hoon
Franz_Muentefering,Dan_Morales
Christopher_Reeve,Kwon_Yang-sook
Paul_Bremer,Jason_Kidd
Venus_Williams,Mariah_Carey
Sheryl_Crow,Hector_Babenco
Justin_Timberlake,Melanie_Griffith
Patricia_Clarkson,Alan_Greenspan
Sergio_Vieira_De_Mello,Bruce_Springsteen
Alec_Baldwin,Zoran_Djindjic
Denzel_Washington,Doris_Schroeder
Kristen_Breitweiser,Lindsay_Davenport
Laura_Linney,Rachel_Hunter
Edmund_Stoiber,Monique_Garbrecht-Enfeldt
Charlton_Heston,Gene_Robinson
Katherine_Harris,Nathalie_Baye
Gloria_Macapagal_Arroyo,John_Rosa
Doris_Schroeder,Anne_McLellan
Jennifer_Keller,Fayssal_Mekdad
