source,target
Joschka_Fischer,Valentino_Rossi
Roy_Moore,Farouk_al-Sharaa
Cindy_Crawford,Doris_SchroeCindy_Crawford,Doris_SchroSam_Bith,Dianne_Feinstein
Vincent_Gallo,Pete_Carroll
Jorge_Batlle,Mariah_Carey
Arlen_Specter,Pedro_Solbes
David_Anderson,Larry_Brown
Ralf_Schumacher,Megawati_SuRalf_SchumaKen_Macha,Anne_McLellan
Christopher_Walken,Joschka_ChristopVincent_Brooks,Kimi_RaikkonVinBiljana_Plavsic,Steffi_GrafBiljana_Plavsic,SteffiRoman_Bill_Frist,John_Reid
RVicente_Fox,Sarah_Jessica_PVicentHoward_Dean,Kathleen_KennedHoward_Dean,Kathleen_Kennedy_TownsSharSteve_Nash,Marat_Safin
Sharon_Osbourne,Natalie_Maines
Mikhail_Wehbe,Meryl_Streep
Nicolas_Cage,Martin_Verkerk
Marcelo_Rios,Mark_Richt
Richard_Virenque,Ozzy_Osbourne
Joe_Lieberman,Abid_Hamid_Mahmud_Al-Tikriti
Princess_Caroline,James_Kelly
Nelson_Mandela,Conan_OBrien
BClay_Aiken,Amanda_Bynes
HeAlex_Sink,Silvia_Farina_Pedro_Solbes,Harrison_Ford
Joseph_Biden,Mathias_ReicPedro_Solbes,Harrison_Ford
MZhang_Ziyi,Tang_Jiaxuan
Brad_Garrett,Walter_Mondale
Sam_Bith,Spencer_Abraham
Strom_Thurmond,Adrien_Brody
Kim_Clijsters,Tang_JiaxuBraJean-Francois_Pontal,ThabSam_BithKofi_Annan,WilliaStrom_ThurJuan_Pablo_MontoyaKim_Clijsters,Tang_Jiaxuan
Jean-Francois_Pontal,Thabo_Mbeki
Kofi_Annan,William_Bratton
Juan_Pablo_Montoya,Lee_Hoi-chang
Akhmed_Zakayev,Tom_Hanks
Nabil_Shaath,Christina_Aguilera
Clint_Eastwood,MaPenelope_CruDavid_Anderson,Tariq_Aziz
Ari_Fleischer,Jerry_Springer
Megawati_Sukarnoputri,Amelie_Mauresmo
Penelope_Cruz,Gilberto_Rodriguez_Orejuela
John_Edwards,Yoko_Ono
Thierry_Falise,Colin_Montgomerie
DiGoldie_Hawn,Terry_McAuliffe
_Alvear_Valenzuela
Michael_Winterbottom,Ann_Veneman
Diana_Krall,Prince_Harry
Goldie_Hawn,Terry_McAuliffe
Jeff_Van_Gundy,William_Donaldson
Rupert_Grint,Uma_Thurman
